Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_GPA,Sleep_Hours,Social_Hours_Week,Final_CGPA
Male,19,Economics,100.0,3.400983449051896,2.238575940014365,8.960414708564203,2,3.8441165820032253
Female,22,Engineering,79.53044339849913,4.6596621038040595,2.615489484495875,7.975562486215898,8,3.1350005047673912
Female,19,Engineering,100.0,7.9938062432931964,3.068408980294926,10.0,8,2.7110948185164054
Female,19,Psychology,72.67100538391367,5.237602562596319,2.765351504220542,8.709376901121875,7,2.5274135330082226
Male,22,Mathematics,97.97237923283703,7.055730752692519,3.301114918990732,7.223267074059182,8,4.0
Male,20,Mathematics,99.15608648478451,4.159122604705345,2.683775802687414,5.6153441451066195,7,3.479922863432074
Male,24,Psychology,100.0,3.195325069594253,3.7851368404058214,7.187924826724842,6,2.7587385937086832
Male,22,Mathematics,100.0,1.5696365629104259,3.7186102051893375,5.955414497276514,10,2.730025969235783
Female,18,Psychology,88.63768959672048,9.217229879506984,3.416398003411457,5.5920515071775405,6,4.0
Male,18,Engineering,84.1212018506071,3.248580002931167,2.944337326723382,9.058845675437684,7,3.1720586230418206
Male,20,Economics,100.0,5.573932895263376,3.6496015759998066,4.981372347719394,5,3.652972444884306
Male,20,Economics,100.0,9.266645738440001,2.787592096627438,7.277212226099664,1,2.5352176256236185
Male,24,Economics,78.48278177789665,7.851567720768775,3.160288150372132,8.386480513917132,7,3.4838501320759434
Female,22,Mathematics,89.89077835556046,7.478550561317336,2.2901842029733657,5.813972274371373,7,3.059642093087577
Male,24,Mathematics,76.57973988589768,6.206848827764,3.596465580434635,9.907075579032874,8,2.390742336331429
Male,20,Economics,90.00994239082999,6.012921997432368,3.8662823178823604,8.341142267465798,9,1.4662143866886157
Female,22,Computer Science,92.33353456604763,4.065942077228551,3.5757158499288924,8.013095933927945,7,2.578284531103059
Male,19,Computer Science,96.21553188068319,5.175707571526438,4.0,4.056549877976045,8,3.2866348333184705
Male,20,Engineering,66.77511207074791,2.6270261386207583,3.5463656405326858,8.196808492268488,15,4.0
Male,20,Business,100.0,5.887866848868321,4.0,6.604993316727706,7,3.513025177651048
Male,20,Engineering,86.88036135746236,3.192731066046861,3.046362476352928,7.6838491635158,9,3.8659950971486787
Male,22,Business,97.91433220036083,7.527128896347938,3.5550303572413444,5.855668316145778,10,3.9110792489399486
Male,19,Engineering,98.47252028566724,6.652901320446459,3.485178932173992,10.0,7,3.7942167247648375
Male,22,Economics,86.57984624305942,3.780145344545868,3.012778355044413,8.936866086014737,11,3.12180825257541
Female,22,Computer Science,96.08453227267606,2.86020365424241,4.0,5.206331245234535,7,3.703620307688064
Male,23,Business,88.83897202075454,4.9822363110670995,2.815862912054631,7.375711101615558,13,3.95553867598525
