code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
BBB,2013B,559785,F,Scotland,A Level or Equivalent,N/A,35-55,2,280,Y,Distinction
DDD,2014J,588078,F,Yorkshire Region,Lower Than A Level,20-30%,0-35,2,55,N,Distinction
FFF,2014B,560005,F,London Region,A Level or Equivalent,50-60%,35-55,2,205,N,Pass
BBB,2013J,1884024,F,East Anglian Region,No Formal quals,20-30%,35-55,6,120,N,Withdrawn
BBB,2014J,543678,M,Ireland,HE Qualification,10-20,0-35,0,180,Y,Withdrawn
BBB,2014J,627417,M,North Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass
DDD,2014B,600945,F,Wales,A Level or Equivalent,40-50%,0-35,6,40,N,Distinction
GGG,2014J,613691,M,South Region,HE Qualification,30-40%,0-35,5,150,N,Withdrawn
FFF,2014B,372837,M,Scotland,A Level or Equivalent,60-70%,0-35,4,60,N,Distinction
FFF,2013J,629960,F,Scotland,Lower Than A Level,N/A,0-35,3,255,N,Pass
GGG,2013B,622686,F,South Region,Lower Than A Level,70-80%,55<=,6,150,N,Withdrawn
FFF,2014J,319606,F,South Region,A Level or Equivalent,20-30%,0-35,4,400,Y,Fail
FFF,2014J,297166,F,North Region,A Level or Equivalent,20-30%,0-35,2,430,N,Withdrawn
CCC,2014B,501862,F,Scotland,Lower Than A Level,0-10%,55<=,5,180,N,Withdrawn
BBB,2014B,677877,F,Scotland,No Formal quals,10-20,0-35,0,105,N,Pass
BBB,2013J,586787,M,West Midlands Region,A Level or Equivalent,80-90%,0-35,0,360,N,Fail
CCC,2014B,553841,M,North Region,Lower Than A Level,40-50%,0-35,5,400,N,Pass
FFF,2014B,1444134,M,Wales,A Level or Equivalent,50-60%,0-35,2,40,N,Distinction
DDD,2014B,654867,M,South East Region,A Level or Equivalent,30-40%,0-35,5,110,N,Pass
GGG,2014B,446730,F,South East Region,A Level or Equivalent,70-80%,55<=,4,110,N,Distinction
GGG,2013J,308363,F,East Midlands Region,HE Qualification,30-40%,35-55,6,150,N,Fail
CCC,2014J,629554,F,South West Region,HE Qualification,N/A,35-55,5,110,Y,Pass
CCC,2013J,599284,M,Scotland,No Formal quals,20-30%,0-35,0,135,N,Fail
EEE,2013B,499469,M,Scotland,A Level or Equivalent,70-80%,35-55,5,280,N,Distinction
DDD,2014J,618882,M,South West Region,Post Graduate Qualification,60-70%,0-35,6,60,N,Distinction
FFF,2014B,100788,M,Yorkshire Region,Lower Than A Level,20-30%,0-35,2,150,Y,Fail
AAA,2014B,571897,M,Wales,Post Graduate Qualification,10-20,0-35,5,150,N,Withdrawn
BBB,2014B,494829,M,West Midlands Region,A Level or Equivalent,60-70%,0-35,0,85,N,Withdrawn
CCC,2013J,2538123,M,North Western Region,Post Graduate Qualification,10-20,0-35,5,255,N,Pass
CCC,2014J,407115,F,North Western Region,A Level or Equivalent,0-10%,0-35,1,235,N,Pass
DDD,2013J,351290,M,East Midlands Region,A Level or Equivalent,40-50%,55<=,2,145,N,Fail
BBB,2013J,614546,F,North Western Region,A Level or Equivalent,50-60%,35-55,2,100,N,Pass
CCC,2013B,580798,M,South West Region,No Formal quals,70-80%,0-35,0,150,N,Pass
CCC,2014J,547737,F,London Region,A Level or Equivalent,20-30%,35-55,2,60,Y,Pass
EEE,2013J,588062,M,South Region,HE Qualification,0-10%,0-35,5,430,N,Pass
FFF,2013B,609381,M,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,70,N,Fail
BBB,2014J,501617,M,East Anglian Region,Lower Than A Level,30-40%,35-55,4,355,N,Fail
FFF,2013J,546412,M,Wales,No Formal quals,20-30%,0-35,0,135,N,Withdrawn
FFF,2013B,634979,F,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,N,Pass
GGG,2014J,582283,M,East Anglian Region,HE Qualification,20-30%,35-55,0,65,Y,Withdrawn
