gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group E,master's degree,free/reduced,completed,100,32,34
male,group A,high school,free/reduced,completed,74,77,61
female,group A,associate's degree,free/reduced,completed,65,76,47
female,group E,some college,standard,completed,77,26,48
male,group B,associate's degree,standard,none,45,54,82
female,group A,high school,free/reduced,completed,0,49,80
male,group D,master's degree,free/reduced,none,89,89,59
female,group C,some high school,free/reduced,none,48,47,48
female,group B,bachelor's degree,standard,completed,84,57,88
male,group D,bachelor's degree,free/reduced,completed,53,43,60
male,group C,some college,standard,completed,44,65,89
male,group D,high school,standard,none,53,96,27
female,group A,some college,standard,none,88,55,52
female,group B,some college,standard,none,83,87,88
female,group D,master's degree,free/reduced,completed,45,57,89
male,group E,associate's degree,standard,completed,54,95,82
female,group D,some college,free/reduced,completed,56,56,56
female,group D,some high school,standard,none,33,91,97
male,group B,master's degree,standard,none,53,97,76
female,group A,high school,standard,completed,70,86,38
male,group E,master's degree,free/reduced,completed,22,70,39
male,group E,some college,standard,completed,35,49,91
female,group B,some high school,free/reduced,none,57,60,66
male,group A,high school,standard,completed,91,61,55
female,group E,some high school,free/reduced,none,91,34,40
female,group C,some high school,standard,completed,22,23,88
female,group C,high school,free/reduced,completed,95,44,47
female,group E,high school,free/reduced,none,40,65,46
male,group E,bachelor's degree,free/reduced,completed,43,46,65
male,group E,some high school,standard,completed,65,31,71
female,group B,master's degree,standard,none,71,85,99
male,group E,master's degree,free/reduced,none,89,94,10
male,group C,master's degree,standard,completed,37,62,85
female,group A,some college,standard,completed,63,91,54
female,group C,some college,standard,none,82,82,45
male,group E,some high school,standard,completed,45,64,34
female,group C,bachelor's degree,free/reduced,completed,35,61,39
female,group C,high school,free/reduced,none,75,24,64
male,group D,some college,standard,completed,28,26,22
female,group D,high school,standard,completed,8,77,23
male,group E,bachelor's degree,free/reduced,none,51,82,78
female,group B,some college,free/reduced,none,78,42,48
female,group C,master's degree,standard,none,35,49,94
female,group A,bachelor's degree,standard,completed,86,56,86
female,group A,some college,standard,none,83,87,52
female,group B,associate's degree,standard,none,87,78,55
female,group D,some high school,free/reduced,none,79,51,88
female,group E,some high school,standard,none,27,54,96
female,group B,some high school,standard,none,75,79,32
